"stock_code","total_qty","total_rev","cluster"
"10002",823,699.55,2
"10080",291,114.41,2
"10120",193,40.53,2
"10123C",5,3.25,2
"10124A",16,6.72,2
"10124G",17,7.14,2
"10125",1226,930.3,2
"10133",2384,1143.61,2
"10135",1938,1786.69,2
"11001",1252,1953,2
"15030",143,41.47,2
"15034",6419,697.06,2
"15036",21876,16044.4399999999,3
"15039",1559,1133.15,2
"15044A",428,1248.28,2
"15044B",307,865.65,2
"15044C",272,782.4,2
"15044D",630,1735.74,2
"15056BL",2779,15218.67,3
"15056N",3826,20696.71,3
"15056P",769,4254.15999999999,2
"15058A",148,1104.6,2
"15058B",115,866.25,2
"15058C",193,894.35,2
"15060B",411,1482.87,2
"16008",2892,360.71,2
"16010",30,3.6,2
"16011",1773,372.33,2
"16012",1244,261.24,2
"16014",13328,4335.76,3
"16015",662,289.98,2
"16016",1273,1053.45,2
"16020C",6,5.1,2
"16033",840,100.8,2
"16043",98,11.76,2
"16045",8900,380,2
"16046",67,56.95,2
"16048",1437,186.84,2
"16049",504,82.08,2
"16052",467,105.29,2
"16054",1166,140.52,2
"16151A",49,61.25,2
"16156L",475,199.5,2
"16156S",5800,2331,2
"16161G",700,70,2
"16161M",25,10.5,2
"16161P",7226,2990.92,2
"16161U",4075,1687.5,2
"16162L",17,11.05,2
"16162M",26,10.92,2
"16168M",329,138.18,2
"16169E",4563,1892.46,2
"16169K",200,84,2
"16169M",660,277.2,2
"16169N",25,10.5,2
"16169P",50,21,2
"16202A",7,3.5,2
"16202B",29,14.5,2
"16202E",15,7.5,2
"16206B",7,8.75,2
"16207A",13,38.35,2
"16207B",4,11.31,2
"16216",3316,227.14,2
"16218",3760,253.2,2
"16219",2915,309.9,2
"16225",762,599.34,2
"16235",2665,525.75,2
"16236",1296,266.56,2
"16237",4598,886.079999999999,2
"16238",1261,265.51,2
"16244B",7,7.85,2
"16248B",13,16.25,2
"16254",31,27.91,2
"16258A",445,156.53,2
"16259",3380,326.56,2
"17001",72,20.88,2
"17003",22963,5980.05,3
"17007B",24,50.4,2
"17011F",80,62.15,2
"17012A",270,244.9,2
"17012B",455,422.55,2
"17012C",363,344.35,2
"17012D",387,366.35,2
"17012E",59,52.05,2
"17012F",365,329.05,2
"17013D",532,257.88,2
"17014A",154,67.83,2
"17021",2427,643.14,2
"17028J",6,2.52,2
"17038",1501,138.1,2
"17084A",200,42,2
"17084J",225,47.25,2
"17084N",1025,212.75,2
"17084P",349,73.29,2
"17084R",4032,760.32,2
