"customer_id","recency","frequency","monetary","cluster"
12346,0,1,77183.6,1
12347,365.038194444444,7,4310,2
12348,282.752777777778,4,1797.24,2
12349,0,1,1757.55,1
12350,0,1,334.4,1
12352,260.086111111111,8,2506.04,2
12353,0,1,89,1
12354,0,1,1079.4,1
12355,0,1,459.4,1
12356,302.951388888889,3,2811.43,2
12357,0,1,6207.67,1
12358,149.015277777778,2,1168.06,1
12359,274.002777777778,4,6372.58,2
12360,148.235416666667,3,2662.06,1
12361,0,1,189.9,1
12362,292.215277777778,10,5226.23,2
12363,132.867361111111,2,552,1
12364,104.790277777778,4,1313.1,1
12365,0.00902777777777778,2,641.38,1
12367,0,1,168.9,1
12370,309.078472222222,4,3545.69,2
12371,14.98125,2,1887.96,1
12372,224.976388888889,3,1298.04,2
12373,0,1,364.6,1
12374,0,1,742.93,1
12375,87.8423611111111,2,457.5,1
12377,39.2555555555556,2,1628.12,1
12378,0,1,4008.62,1
12379,88.7340277777778,2,852.24,1
12380,164.068055555556,4,2724.81,2
12381,115.115972222222,5,1845.31,1
12383,167.731944444444,5,1850.56,2
12384,92.8861111111111,2,585.27,1
12386,29.1138888888889,2,401.9,1
12388,311.054166666667,6,2780.66,2
12390,0,1,549.84,1
12391,0,1,460.89,1
12393,260.245833333333,4,1582.6,2
12394,153.754861111111,2,1272.48,1
12395,351.948611111111,12,3018.63,2
12397,99.8131944444444,2,2409.9,1
12398,0,1,1635.66,1
12399,142.147916666667,4,1108.65,1
12401,0,1,84.3,1
12402,0,1,225.6,1
12403,0,1,427.7,1
12405,0,1,1710.39,1
12406,161.374305555556,2,3415.3,1
12407,214.868055555556,5,1708.12,2
12408,227.903472222222,5,2888.55,2
12409,103.929861111111,3,11072.67,1
12410,0.000694444444444444,2,693.33,1
12412,94.8506944444444,3,1226.88,1
12413,270.7,3,758.1,2
12414,93,3,562.41,1
12415,313.131944444444,21,124914.53,3
12417,354.125694444444,9,3649.1,2
12418,0,1,668.58,1
12420,0,1,600.39,1
12421,303.748611111111,4,807.04,2
12422,229.024305555556,3,803.56,2
12423,352.969444444444,8,1859.31,2
12424,0,2,1760.96,1
12425,0,1,777.2,1
12426,0,1,582.73,1
12427,349.925,3,825.8,2
12428,257.950694444444,9,7956.46,2
12429,356.220138888889,4,3750.4,2
12430,0,1,256.4,1
12431,338.077777777778,15,6487.45,2
12432,129.927777777778,5,5059.32,1
12433,372.859722222222,7,13375.87,2
12434,175.98125,2,806.14,2
12435,188.059722222222,2,7829.89,2
12436,0,1,509.01,1
12437,329.890277777778,18,4951.41,2
